,e__x0_Adelaide,e__x0_Albany,e__x0_Albury,e__x0_AliceSprings,e__x0_BadgerysCreek,e__x0_Ballarat,e__x0_Bendigo,e__x0_Brisbane,e__x0_Cairns,e__x0_Canberra,e__x0_Cobar,e__x0_CoffsHarbour,e__x0_Dartmoor,e__x0_Darwin,e__x0_GoldCoast,e__x0_Hobart,e__x0_Katherine,e__x0_Launceston,e__x0_Melbourne,e__x0_MelbourneAirport,e__x0_Mildura,e__x0_Moree,e__x0_MountGambier,e__x0_MountGinini,e__x0_Newcastle,e__x0_Nhil,e__x0_NorahHead,e__x0_NorfolkIsland,e__x0_Nuriootpa,e__x0_PearceRAAF,e__x0_Penrith,e__x0_Perth,e__x0_PerthAirport,e__x0_Portland,e__x0_Richmond,e__x0_Sale,e__x0_SalmonGums,e__x0_Sydney,e__x0_SydneyAirport,e__x0_Townsville,e__x0_Tuggeranong,e__x0_Uluru,e__x0_WaggaWagga,e__x0_Walpole,e__x0_Watsonia,e__x0_Williamtown,e__x0_Witchcliffe,e__x0_Wollongong,e__x0_Woomera,e__x1_E,e__x1_ENE,e__x1_ESE,e__x1_N,e__x1_NE,e__x1_NNE,e__x1_NNW,e__x1_NW,e__x1_S,e__x1_SE,e__x1_SSE,e__x1_SSW,e__x1_SW,e__x1_W,e__x1_WNW,e__x1_WSW,e__x2_No,e__x2_Yes,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm
138048,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1.0,0,5.5,25.6,0,5.6,10.7,28.0,,,6.0,13.0,42.0,17.0,1023.7,1020.7,0,0,14.8,24.5
24869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,1.0,0,15.6,29.1,0,5.529650670857005,7.593608328940433,37.0,,,11.0,7.0,61.0,37.0,1017.641765248118,1015.2582092075936,4.444383016364441,4.520282800185443,21.9,28.5
111997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1.0,0,8.8,25.2,0,5.529650670857005,7.593608328940433,39.0,,,17.0,24.0,56.0,55.0,1018.5,1015.5,4.444383016364441,4.520282800185443,19.5,23.4
68593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,10.9,15.7,0,6.0,2.4,35.0,,,9.0,15.0,53.0,65.0,1016.1,1014.5,3.0,7.0,11.8,14.7
52757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,1.0,0,4.2,13.2,0,5.529650670857005,7.593608328940433,39.0,,,15.0,11.0,63.0,52.0,1017.641765248118,1015.2582092075936,4.444383016364441,4.520282800185443,8.5,12.7
40153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,1.0,0,6.7,17.8,0,2.8,10.2,35.0,,,13.0,24.0,67.0,53.0,1027.6,1023.7,3.0,1.0,13.9,16.7
118418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,21.3,35.6,0,9.6,11.7,61.0,,,35.0,30.0,47.0,26.0,1012.2,1008.9,1.0,1.0,25.9,34.6
49114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,16.6,27.7,0,5.529650670857005,7.593608328940433,33.0,,,11.0,13.0,64.0,36.0,1015.8,1013.2,4.444383016364441,4.520282800185443,19.1,25.3
1823,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,14.8,34.6,0,5.529650670857005,7.593608328940433,54.0,,,2.0,20.0,63.0,23.0,1014.3,1008.9,4.444383016364441,6.0,20.6,32.1
108793,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1.0,10.0,14.2,12.2,1.4,4.5,39.76258886255924,,,30.0,24.0,70.0,68.0,1012.0,1013.1,5.0,7.0,12.6,13.2
43454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1.0,0,10.7,21.0,0,5.529650670857005,7.593608328940433,33.0,,,15.0,15.0,50.0,32.0,1026.2,1022.5,4.444383016364441,4.520282800185443,14.4,20.6
3511,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,12.5,26.4,0,5.529650670857005,7.593608328940433,28.0,,,4.0,17.0,78.0,59.0,1028.6,1025.9,4.444383016364441,4.520282800185443,19.7,23.8
12342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,13.0,26.6,0,7.6,10.1,37.0,,,17.0,20.0,50.0,23.0,1011.4,1009.0,0,5.0,20.0,25.7
92944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,13.2,22.0,0,5.529650670857005,7.593608328940433,28.0,,,20.0,15.0,31.0,30.0,1017.8,1014.8,4.444383016364441,4.520282800185443,18.0,21.3
15040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,13.6,23.9,0,5.529650670857005,7.593608328940433,33.0,,,19.0,15.0,87.0,68.0,1020.3,1018.4,4.444383016364441,7.0,17.0,22.1
64998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1.0,0,9.1,22.8,0,3.6,9.0,26.0,,,9.0,15.0,77.0,55.0,1016.2,1013.1,5.0,2.0,13.3,21.1
47829,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,13.3,27.3,0,5.529650670857005,7.593608328940433,35.0,,,7.0,9.0,79.0,36.0,1027.3,1022.8,8.0,4.520282800185443,17.4,26.1
45838,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,-1.3,8.8,0,0.8,2.8,39.0,,,9.0,15.0,95.0,68.0,1020.0,1016.8,7.0,6.0,1.8,8.0
80347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,15.4,26.2,0,9.4,10.5,54.0,,,17.0,17.0,44.0,34.0,1018.5,1012.8,1.0,1.0,21.2,25.7
41265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,21.0,36.0,0,29.8,7.593608328940433,35.0,,,15.0,15.0,72.0,41.0,1014.1,1009.7,6.0,7.0,25.1,34.7
6597,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,1.0,2.0,11.9,6.6,0.2,5.5,26.0,,,9.0,9.0,98.0,62.0,1031.6,1030.7,7.0,6.0,4.9,11.2
55020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1.2,11.3,0,5.529650670857005,7.593608328940433,33.0,,,7.0,7.0,98.0,61.0,1017.641765248118,1015.2582092075936,4.444383016364441,4.520282800185443,6.6,10.4
92929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,1.0,0,10.3,22.7,0,5.529650670857005,7.593608328940433,33.0,,,9.0,30.0,70.0,66.0,1023.6,1020.7,4.444383016364441,4.520282800185443,16.7,20.4
2675,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,-1.3,7.5,0,5.529650670857005,7.593608328940433,15.0,,,0,4.0,99.0,79.0,1023.4,1019.0,8.0,4.520282800185443,2.3,7.4
33801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,1.0,0,9.6,15.9,0,5.2,4.7,59.0,,,30.0,43.0,73.0,62.0,1025.4,1025.9,4.0,6.0,13.6,14.8
65245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,1.0,0,13.8,24.6,0,6.2,4.8,37.0,,,15.0,15.0,80.0,56.0,1018.6,1015.9,8.0,7.0,14.6,22.6
47481,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,4.9,22.1,0,2.8,7.593608328940433,39.0,,,7.0,13.0,88.0,45.0,1028.9,1024.1,1.0,8.0,11.3,19.8
73517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,3.3,14.4,0,5.529650670857005,7.593608328940433,28.0,,,17.0,7.0,73.0,53.0,1028.3,1026.1,4.444383016364441,4.520282800185443,6.3,13.6
87596,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,23.4,30.6,121.4,8.8,3.3,26.0,,,9.0,11.0,92.0,60.0,1011.4,1007.1,8.0,7.0,24.0,29.8
127271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1.0,0,14.3,20.9,0,5.529650670857005,7.593608328940433,35.0,,,22.0,17.0,58.0,54.0,1019.9,1020.5,4.444383016364441,4.520282800185443,17.7,19.3
12998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,5.1,19.5,1.2,1.8,8.8,35.0,,,26.0,15.0,67.0,42.0,1023.8,1022.3,0,7.0,13.5,18.9
97771,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1.0,0,8.5,17.1,0.8,5.529650670857005,7.593608328940433,22.0,,,6.0,13.0,96.0,68.0,1035.4,1033.7,4.444383016364441,4.520282800185443,10.3,15.9
38572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,2.9,25.3,0,3.2,13.1,30.0,,,13.0,9.0,55.0,17.0,1024.1,1020.7,1.0,6.0,13.1,24.3
103051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,-1.1,18.4,0,2.0,9.0,44.0,,,7.0,9.0,49.0,20.0,1022.0,1017.5,3.0,1.0,11.1,17.9
52104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1.0,9.0,22.0,7.0,5.529650670857005,7.593608328940433,39.76258886255924,,,9.0,13.0,79.0,51.0,1017.641765248118,1015.2582092075936,4.444383016364441,4.520282800185443,14.2,18.6
88713,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,1.0,0,20.4,29.2,0,4.0,10.4,28.0,,,4.0,15.0,74.0,71.0,1011.5,1009.2,3.0,2.0,26.4,28.3
13063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,1.0,0,15.7,29.2,0,7.0,11.1,35.0,,,26.0,13.0,62.0,35.0,1018.6,1013.2,6.0,2.0,20.0,28.5
105351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,1.0,0,8.6,27.2,0,7.6,13.5,39.0,,,15.0,9.0,61.0,18.0,1020.4,1016.5,0,4.520282800185443,14.1,25.7
69793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,1.0,0,12.1745535404072,23.23778549114891,2.309210988547741,5.8,6.9,61.0,,,7.0,20.0,68.57879977565901,51.32602058927937,1017.641765248118,1015.2582092075936,4.444383016364441,4.520282800185443,16.981138120777324,21.693805996472665
